,text,label,data;;
1; Внешний вид  экран  быстродействие. Телефон вообще выбивается из текущей действительности  как когда-то iphone g! Кстати  сравнение с iphone (к покупке рассматривал оба варианта) окончательно расстроило меня как фаната apple в прошлом. Увы  эпоха apple на этом рынке прошла. NFC с android pay работает молниеносно. Отпечаток пальца распознается быстро и безошибочно в  процентах случаев. октября;1
1; не очень удобно тянутся к сканеру -  февраля ;-1
3; экран камера батарея   февраля ;1
4; не очень удобно тянутся к сканеру -  февраля ;-1
5; Шикарный экран  камера  фронтальная  кстати  на высоте. Вобщем не к чему придраться если честно  поначалу бесил чертов бигсби  но это прошло)   мая ;1
6; Навязчивый бигсби -  мая ;-1
7; Отличный телефон  качественный и современный. Рекомендую чехол clear case к нему - под него есть несколько приятных программных функций   декабря ;1
8; Время автономной работы могло бы быть и больше -  декабря ;-1
9; Лучший аппарат по соотношению цена/функциональность на сегодня.   декабря ;1
10; Разблокировку лицом лучше не включать  работает так себе -  декабря ;-1
11; Экран  операционная система   января ;1
12; Малый объем аккумулятора -  января ;-1
13; Всё отлично   сентября ;1
14; В любых смартфонах  -  сентября ;-1
15;" - Камера! Для меня самый главный плюс  она действительно отличная  удобный запуск двойным нажатием кнопкой питания  быстрый фокус...вообщем камера на высоте  лично на мой не профессиональный взгляд  сравнивал с айфон    с сони Z(мой предыдущий телефон) После покупки телефона продал свою leica d-lux   т.к. надоело таскать ее с собой на отдых. - Дизайн; - Влагозащита   хотя не проверял и не собираюсь; - Огромное кол-во настроек ; широкий выбор персонализации в samsung themes (значки  темы  обои и т.д.) - Быстрая зарядка; - Габариты  одной рукой могу дотянуться практически до любой точки экрана - Always on Display  мелочь  а приятно   августа ";1
16; - кнопка bixby  может эта служба и заработает полноценно в будущем  но все равно не пойму  зачем выводить отдельную кнопку  если bixby и так можно открыть с главного экрана свайпом вправо до упора? Вот добавили бы возможность стандартными средствами ее переназначать  тогда да! Можно переназначить сторонними приложениями  bxactions например   но пишут  что с последним обновлением прошивки  она работает криво  не знаю  не проверял. - кнопка Home иногда сама нажиматься в переднем кармане брюк/джинс  хоть и стоит минимальная чувствительность и ношу просторные  не облегающие штаны) - Wi-Fi. Отваливается в тех местах квартиры  где остальные телефоны в семье ловят  на предыдущем Sony Z было лучше - розовый экран....про него ниже. -  августа ;-1
17; Тактильные ощущения  внешний вид  качество картинки  скорость работы приложений   августа ;1
18; Крайне низкая выносливость батареи после длительного срока (более года) эксплуатации  низкое (в сравнении с аналогами) качество фото -  августа ;-1
19; Лично для меня  по пунктам: ) Экран. И качество  и wow-эффект - всё присутствует. Картинка сочная  яркая. После Sony (xperia Z/Z compact) цвета кажутся очень насыщенными  я бы даже сказал  что слишком. ) Рамки вокруг экрана. На самом деле  они есть. И не только сверху и снизу  но и по бокам. Субъективно  около - миллиметров. Для меня лично это плюс  так как в отличие от s edge значительно меньше случайных нажатий. ) Комплектация. Наложили всего и побольше.  переходника  хорошие наушники  зарядку адаптивную на .- ампера. Хотя касаясь темы наушников  на мой субъективный взгляд  можно за  рублей купить очень приличные наушники с активным шумодавом  например от тех же Sony  и в повседневных задачах они будут удобнее. Но здесь есть свои  хорошие и на том спасибо.   апреля ;1
20;" Помимо цены: ) Разблокировка экрана. Есть  вида быстрой разблокировки - по лицу  по сетчатке и по отпечатку. И все  кривые: а. Сетчатка. Во-первых  чтобы эта разблокировка сработала  нужно сделать лицо как из видео ""дверь мне запили""  иначе он сетчатку не распознает. Представьте комичность ситуации  когда человек подносит телефон прямо к лицу и ПЫРИТЬСЯ на него. Ну и главная проблема этой разблокировки - можно запомнить только одну сетчатку. Я конечно всё понимаю  но часто в семье телефоном пользуется не только владелец  например  домашние берут телефон  чтобы видео посмотреть  в интернете порыться  фотографию сделать. И тут остаётся только набирать пин-код. б. Сканер лица. Он удобнее - не нужно делать идиотское лицо  располагать телефон в единственной правильно позиции  как с сетчаткой. Но запомнить он может только одно лицо  так что для других снова только пин-код. И нет  запомнить одну сетчатку и одно лицо одновременно нельзя - эти виды аутентификации не сочетаются. На счёт взлома этого вида через фотографию. Я попробовал и честно Вам скажу  что тут уровень ""притягивания за уши""  как у идеи скопировать отпечаток пальца со стакана из которого пил владелец смартфона. в. Сканер отпечатка. Лучше вообще забудьте о нём  его считай нет. ) Размер телефона. Он узкий  что удобно для хвата. Но экран очень вытянутый – дотянуться одной рукой до верхней шторки  не перехватывая смартфон  нереально. Лежит в руке на столько крепко  насколько кусок стекла со скользким олеофобным покрытием может крепко лежать в руке. ) Выбор цветов. В России представлено  цвета - Чёрный (один в один Jet Black)  Золотой (не совсем ""ай нане-нане""  но не для мужчин уж точно) и Фиолетовый  который я купил. Он  я бы сказал  с эффектом хамелеона - в зависимости от освещения меняет цвет от ""винограда"" до чёрного. Ещё пара цветов бы не помешала. ) Носить страшновато. Есть подспудное ощущение  что у телефона есть лимит жизни до первого жёсткого падения. Но ещё посмотрим. -  апреля ";-1
21; Экран  производительность   июня ;1
22; Через месяц захрипел динамик при нажатии пальцем на заднюю панель при разговоре. Оьратился в сервисный цент МТ Сервис  дали заключение  что этот дефект неустраним и является нормой для модели  проявляется на многих телефонах. В реальности - не слвшно собеседника изза треска. Это заключение сервисного центра могу представить любому  сейчас готовлю ролик на youtube  о том  что в гарантийном ремонте может быть отказано тк это НОРМА. Горячая линия самсунг проблему не решила  сказали   что так и есть треск и хрипы на Samsung Galaxy S это норма. Обратился в судебную экспертизу  дефект выявлен  готовлюсь к суду. -  июня ;-1
23; Хорошая камера. Не боится воды. Яркий красочный экран   марта ;1
24; Низкая автономность. Неотключаемая кнопка вызова помощника. -  марта ;-1
25; Отличный телефон!   января ;1
26; Не советую покупать в связном! Акции не действуют -  января ;-1
27; Ну конечно экран  точнее эргономика рядом с s мой sedge выглядит лопатой) Камера на высоте опять же после ки меньшего и не ожидал  друзья с айфонами засматривались на снимки. Звук стал громче и с небольшим объемным эффектом так же и разговорный динамик-отличная слышимость Как у нас обычно бывает:люди не разберутся в функциях(не почитают инструкцию) и пишут плохие отзывы а на самом деле : -кнопку приложений на главный экран можно добавить(настройки) -можно переназначить кнопку bixby (есть программа bxActions) -на ютубе при видео в горизонтальном положение можно вернуть кнопки назад и домой проведя пальцем от кнопки домой к центру -двойное нажатие кнопки питания для быстрого запуска камеры для меня удобно-телефон держу в правой руке (одной рукой) -тоже самое касается отпечатка пальца-мне не вызвало дискомфорт хотя старый способ на данным момент конечно привычней -аккумулятор держит ровно столько как и старый  мес sedge(до конца дня не доживает или кряхтя вторая зарядка обязательна) хотя при покупке го к концу дня оставалось -% использую  сим -экран привычен-кто до этого не пользовался edge будет неудобно   мая ;1
